srg,cnf
m_00004,rebuild
m_00005,render
m_00006,setDirty
m_00009,get
m_00010,normalizePlane
m_00011,calculate
m_00012,containsPoint
m_00013,containsSphere
m_00014,fullyContainsBox
m_00015,containsBox
m_00016,containsBox
m_00018,load
m_00019,save
m_00020,setLightDepths
m_00021,addListener
m_00022,removeListener
m_00023,containsBlock
m_00024,isSolid
m_00025,isOpaque
m_00026,getBoxes
m_00027,getBrightness
m_00028,setBlock
m_00029,onBlockChange
m_00030,onLightLevelChange
m_00031,onLevelChange
m_00033,render
m_00034,pick
m_00035,renderBlockHit
m_00036,setDirty
m_00038,stop
m_00039,clear
m_00040,start
m_00041,setTexture
m_00042,setColor
m_00043,setVertex
m_00046,render
m_00047,renderSide
m_00049,expand
m_00050,expandBothSides
m_00051,getXCollision
m_00052,getYCollision
m_00053,getZCollision
m_00054,intersects
m_00055,move
m_00057,resetPos
m_00058,turn
m_00058,setPos
m_00060,tick
m_00061,move
m_00062,addMotion
m_00064,start
m_00065,stop
m_00067,tick
m_00068,moveCameraToPlayer
m_00069,setCamera
m_00070,setPickingCamera
m_00071,pick
m_00072,render
m_00073,checkError
m_00077,getTexture
m_00078,bind
m_00080,update
