srg,cnf
p_00425,id
p_00426,box
p_00427,x
p_00428,y
p_00429,z
p_00430,offset
p_00431,x
p_00432,y
p_00433,z
p_00434,x
p_00435,z
p_00436,xSpawn
p_00437,ySpawn
p_00438,zSpawn
p_00439,spawnRotation
p_00440,x
p_00441,y
p_00442,z
p_00443,x
p_00444,y
p_00445,z
p_00446,degrees
p_00447,entity
p_00448,tesselator
p_00449,partialTicks
p_00450,cameraX
p_00451,cameraY
p_00452,cameraZ
p_00453,cameraXWithY
p_00454,cameraZWithY
p_00455,x
p_00456,y
p_00457,z
p_00458,x
p_00459,y
p_00460,z
p_00461,box
p_00462,xOffset
p_00463,box
p_00464,yOffset
p_00465,box
p_00466,zOffset
p_00467,code
p_00468,active
p_00469,inputs
p_00470,code
p_00471,active
p_00472,world
p_00473,x
p_00474,y
p_00475,z
p_00476,side
p_00477,world
p_00478,x
p_00479,y
p_00480,z
p_00481,id
p_00482,texture
p_00483,id
p_00484,texture
p_00485,world
p_00486,x
p_00487,y
p_00488,z
p_00489,id
p_00490,worldMap
p_00491,worldMap
p_00492,ore
p_00493,p_00493
p_00494,p_00494
p_00495,p_00495
