srg,cnf
p_00191_0,
p_00191_1,
p_00191_2,
p_00191_3,
p_00191_4,
p_00192_0,
p_00192_1,
p_00192_2,
p_00193_0,
p_00193_1,
p_00193_2,
p_00193_3,
p_00196_0,
p_00196_1,
p_00196_2,
p_00197_0,
p_00197_1,
p_00199_0,
p_00199_1,
p_00199_2,
p_00200_0,
p_00200_1,
p_00200_2,
p_00201_0,
p_00202_0,
p_00202_1,
p_00202_2,
p_00210_0,
p_00211_0,
p_00213_0,
p_00213_1,
p_00214_0,
p_00214_1,
p_00214_2,
p_00214_3,
p_00216_0,
p_00216_1,
p_00218_0,
p_00220_0,
p_00221_0,
p_00221_1,
p_00223_0,
p_00226_0,
p_00228_0,
p_00229_0,
p_00229_1,
p_00229_2,
p_00229_3,
p_00229_4,
p_00229_5,
p_00229_6,
p_00230_0,
p_00230_1,
p_00230_2,
p_00233_0,
p_00236_0,
p_00237_0,
p_00242_0,
p_00243_0,
p_00244_0,
p_00244_1,
p_00245_0,
p_00247_0,
p_00247_1,
p_00248_0,
p_00248_1,
p_00249_0,
p_00250_0,
p_00250_1,
p_00250_2,
p_00251_0,
p_00251_1,
p_00251_2,
p_00251_3,
p_00253_0,
p_00254_0,
p_00254_1,
p_00254_2,
p_00254_3,
p_00255_0,
p_00255_1,
p_00256_0,
p_00256_1,
p_00256_2,
p_00256_3,
p_00258_0,
p_00258_1,
p_00258_2,
p_00258_3,
p_00258_4,
p_00258_5,
p_00259_0,
p_00259_1,
p_00259_2,
p_00259_3,
p_00260_0,
p_00261_0,
p_00261_1,
p_00261_2,
p_00261_3,
p_00262_0,
p_00265_0,
p_00265_1,
p_00266_0,
p_00266_1,
p_00266_2,
p_00266_3,
p_00266_4,
p_00266_5,
p_00267_0,
p_00267_1,
p_00268_0,
p_00268_1,
p_00272_0,
p_00272_1,
p_00272_2,
p_00272_3,
p_00272_4,
p_00272_5,
p_00273_0,
p_00273_1,
p_00273_2,
p_00273_3,
p_00273_4,
p_00274_0,
p_00274_1,
p_00274_2,
p_00277_0,
p_00278_0,
p_00278_1,
p_00278_2,
p_00282_0,
p_00284_0,
p_00284_1,
p_00285_0,
p_00285_1,
p_00285_2,
p_00285_3,
p_00286_0,
p_00286_1,
p_00287_0,minX
p_00287_1,minY
p_00287_2,minZ
p_00287_3,maxX
p_00287_4,maxY
p_00287_5,maxZ
p_00289_0,minX
p_00289_1,minY
p_00289_2,minZ
p_00289_3,maxX
p_00289_4,maxY
p_00289_5,maxZ
p_00290_0,minX
p_00290_1,minY
p_00290_2,minZ
p_00290_3,maxX
p_00290_4,maxY
p_00290_5,maxZ
p_00291_0,minX
p_00291_1,minY
p_00291_2,minZ
p_00291_3,maxX
p_00291_4,maxY
p_00291_5,maxZ
p_00292_0,x
p_00292_1,y
p_00292_2,z
p_00293_0,x
p_00293_1,y
p_00293_2,z
p_00294_0,x
p_00294_1,y
p_00294_2,z
p_00295_0,box
p_00295_1,xOffset
p_00296_0,box
p_00296_1,yOffset
p_00297_0,box
p_00297_1,zOffset
p_00298_0,box
p_00299_0,x
p_00299_1,y
p_00299_2,z
p_00300_0,vec
p_00303_0,vecOne
p_00303_1,vecTwo
p_00304_0,vec
p_00305_0,vec
p_00306_0,vec
p_00307_0,box
p_00310_0,
p_00311_0,
p_00314_0,
p_00314_1,
p_00314_2,
p_00314_3,
p_00314_4,
p_00314_5,
p_00314_6,
p_00315_0,
p_00315_1,
p_00315_2,
p_00315_3,
p_00315_4,
p_00315_5,
p_00315_6,
p_00316_0,
p_00316_1,
p_00316_2,
p_00317_0,
p_00317_1,
p_00317_2,
p_00317_3,
p_00318_0,
p_00318_1,
p_00319_0,
p_00319_1,
p_00320_0,
p_00320_1,
p_00322_0,
p_00322_1,
p_00323_0,
p_00323_1,
p_00323_2,
p_00324_0,
p_00324_1,
